# tracer: function_graph
#
# CPU  DURATION                  FUNCTION CALLS
# |     |   |                     |   |   |   |
   0)   0.121 us    |        kthread_data();
   0)   0.364 us    |      }
   0)               |      psi_group_change() {
   0)   0.133 us    |        record_times();
   0)   0.391 us    |      }
   0)   1.349 us    |    }
   0)               |    dequeue_task_fair() {
   0)               |      dequeue_entity() {
   0)               |        update_curr() {
   0)   0.144 us    |          update_min_vruntime();
   0)   0.129 us    |          cpuacct_charge();
   0)   0.650 us    |        }
   0)   0.131 us    |        __update_load_avg_se();
   0)   0.126 us    |        __update_load_avg_cfs_rq();
   0)   0.122 us    |        clear_buddies();
   0)   0.121 us    |        account_entity_dequeue();
   0)   0.125 us    |        update_cfs_group();
   0)   0.132 us    |        update_min_vruntime();
   0)   2.390 us    |      }
   0)   0.131 us    |      hrtick_update();
   0)   2.898 us    |    }
   0)               |    pick_next_task_fair() {
   0)   0.114 us    |      check_cfs_rq_runtime();
   0)               |      pick_next_entity() {
   0)   0.113 us    |        clear_buddies();
   0)   0.355 us    |      }
   0)               |      pick_next_entity() {
   0)   0.124 us    |        clear_buddies();
   0)   0.358 us    |      }
   0)               |      set_next_entity() {
   0)   0.113 us    |        __update_load_avg_se();
   0)   0.119 us    |        __update_load_avg_cfs_rq();
   0)   0.606 us    |      }
   0)               |      put_prev_entity() {
   0)   0.125 us    |        check_cfs_rq_runtime();
   0)   0.367 us    |      }
   0)               |      set_next_entity() {
   0)   0.133 us    |        __update_load_avg_se();
   0)   0.129 us    |        __update_load_avg_cfs_rq();
   0)   0.716 us    |      }
   0)   3.341 us    |    }
   0)               |    psi_task_switch() {
   0)   0.120 us    |      psi_flags_change();
   0)               |      psi_group_change() {
   0)   0.135 us    |        record_times();
   0)   0.399 us    |      }
   0)               |      psi_group_change() {
   0)   0.131 us    |        record_times();
   0)   0.376 us    |      }
   0)               |      psi_group_change() {
   0)   0.130 us    |        record_times();
   0)   0.377 us    |      }
   0)               |      psi_group_change() {
   0)   0.144 us    |        record_times();
   0)   0.385 us    |      }
   0)               |      psi_group_change() {
   0)   0.131 us    |        record_times();
   0)   0.381 us    |      }
   0)               |      psi_group_change() {
   0)   1.332 us    |        record_times();
   0)   1.754 us    |      }
   0)               |      psi_group_change() {
   0)   0.126 us    |        record_times();
   0)   0.381 us    |      }
   0)   5.247 us    |    }
   0)   0.145 us    |    switch_mm_irqs_off();
 ------------------------------------------
   0) kworker-15548  => gnome-t-13521 
 ------------------------------------------

   0)   0.140 us    |              get_xsave_addr();
   0)   0.133 us    |              finish_task_switch();
   0) + 81.822 us   |            } /* schedule */
   0)   0.125 us    |            hrtimer_active();
   0)               |            hrtimer_try_to_cancel.part.0() {
   0)   0.126 us    |              _raw_spin_lock_irqsave();
   0)   0.151 us    |              __remove_hrtimer();
   0)   0.135 us    |              _raw_spin_unlock_irqrestore();
   0)   0.909 us    |            }
   0) + 85.292 us   |          } /* schedule_hrtimeout_range_clock */
   0) + 85.504 us   |        } /* schedule_hrtimeout_range */
   0)               |        __fdget() {
   0)               |          __fget_light() {
   0)   0.176 us    |            __fget_files();
   0)   0.447 us    |          }
   0)   0.695 us    |        }
   0)               |        sock_poll() {
   0)   0.125 us    |          unix_poll();
   0)   0.445 us    |        }
   0)               |        fput() {
   0)   0.127 us    |          fput_many();
   0)   0.358 us    |        }
   0)               |        __fdget() {
   0)               |          __fget_light() {
   0)   0.141 us    |            __fget_files();
   0)   0.369 us    |          }
   0)   0.601 us    |        }
   0)   0.162 us    |        eventfd_poll();
   0)               |        fput() {
   0)   0.127 us    |          fput_many();
   0)   0.360 us    |        }
   0)               |        __fdget() {
   0)               |          __fget_light() {
   0)   0.170 us    |            __fget_files();
   0)   0.424 us    |          }
   0)   0.671 us    |        }
   0)               |        sock_poll() {
   0)   0.117 us    |          unix_poll();
   0)   0.363 us    |        }
   0)               |        fput() {
   0)   0.102 us    |          fput_many();
   0)   0.332 us    |        }
   0)               |        __fdget() {
   0)               |          __fget_light() {
   0)   0.154 us    |            __fget_files();
   0)   0.382 us    |          }
   0)   0.603 us    |        }
   0)               |        tty_poll() {
   0)               |          tty_ldisc_ref_wait() {
   0)               |            ldsem_down_read() {
   0)               |              _cond_resched() {
   0)   0.136 us    |                rcu_all_qs();
   0)   0.396 us    |              }
   0)   0.638 us    |            }
   0)   0.884 us    |          }
   0)               |          n_tty_poll() {
   0)   0.132 us    |            tty_hung_up_p();
   0)   0.208 us    |            mutex_is_locked();
   0)               |            tty_chars_in_buffer() {
   0)   0.127 us    |              pty_chars_in_buffer();
   0)   0.369 us    |            }
   0)               |            tty_write_room() {
   0)               |              pty_write_room() {
   0)   0.145 us    |                tty_buffer_space_avail();
   0)   0.389 us    |              }
   0)   0.656 us    |            }
   0)   2.041 us    |          }
   0)               |          tty_ldisc_deref() {
   0)   0.134 us    |            ldsem_up_read();
   0)   0.417 us    |          }
   0)   3.869 us    |        }
   0)               |        fput() {
   0)   0.112 us    |          fput_many();
   0)   0.360 us    |        }
   0)               |        __fdget() {
   0)               |          __fget_light() {
   0)   0.153 us    |            __fget_files();
   0)   0.397 us    |          }
   0)   0.645 us    |        }
   0)               |        tty_poll() {
   0)               |          tty_ldisc_ref_wait() {
   0)               |            ldsem_down_read() {
   0)               |              _cond_resched() {
   0)   0.133 us    |                rcu_all_qs();
   0)   0.381 us    |              }
   0)   0.632 us    |            }
   0)   0.877 us    |          }
   0)               |          n_tty_poll() {
   0)               |            tty_buffer_flush_work() {
   0)               |              flush_work() {
   0)               |                start_flush_work.constprop.0() {
   0)               |                  _cond_resched() {
   0)   0.129 us    |                    rcu_all_qs();
   0)   0.396 us    |                  }
   0)   0.123 us    |                  _raw_spin_lock_irq();
   0)   0.952 us    |                }
   0)   1.231 us    |              }
   0)   1.454 us    |            }
   0)   0.122 us    |            tty_hung_up_p();
   0)   0.129 us    |            mutex_is_locked();
   0)               |            tty_chars_in_buffer() {
   0)   0.133 us    |              pty_chars_in_buffer();
   0)   0.374 us    |            }
   0)               |            tty_write_room() {
   0)               |              pty_write_room() {
   0)   0.120 us    |                tty_buffer_space_avail();
   0)   0.362 us    |              }
   0)   0.612 us    |            }
   0)   3.438 us    |          }
   0)               |          tty_ldisc_deref() {
   0)   0.121 us    |            ldsem_up_read();
   0)   0.355 us    |          }
   0)   5.207 us    |        }
   0)               |        fput() {
   0)   0.133 us    |          fput_many();
   0)   0.386 us    |        }
   0)               |        __fdget() {
   0)               |          __fget_light() {
   0)   0.150 us    |            __fget_files();
   0)   0.408 us    |          }
   0)   0.681 us    |        }
   0)               |        tty_poll() {
   0)               |          tty_ldisc_ref_wait() {
   0)               |            ldsem_down_read() {
   0)               |              _cond_resched() {
   0)   0.126 us    |                rcu_all_qs();
   0)   0.402 us    |              }
   0)   0.640 us    |            }
   0)   0.892 us    |          }
   0)               |          n_tty_poll() {
   0)               |            tty_buffer_flush_work() {
   0)               |              flush_work() {
   0)               |                start_flush_work.constprop.0() {
   0)               |                  _cond_resched() {
   0)   0.128 us    |                    rcu_all_qs();
   0)   0.383 us    |                  }
   0)   0.127 us    |                  _raw_spin_lock_irq();
   0)   0.927 us    |                }
   0)   1.259 us    |              }
   0)   1.501 us    |            }
   0)   0.115 us    |            tty_hung_up_p();
   0)   0.126 us    |            mutex_is_locked();
   0)               |            tty_chars_in_buffer() {
   0)   0.115 us    |              pty_chars_in_buffer();
   0)   0.341 us    |            }
   0)               |            tty_write_room() {
   0)               |              pty_write_room() {
   0)   0.126 us    |                tty_buffer_space_avail();
   0)   0.381 us    |              }
   0)   0.728 us    |            }
   0)   3.568 us    |          }
   0)               |          tty_ldisc_deref() {
   0)   0.130 us    |            ldsem_up_read();
   0)   0.365 us    |          }
   0)   5.346 us    |        }
   0)               |        fput() {
   0)   0.137 us    |          fput_many();
   0)   0.372 us    |        }
   0) ! 136.738 us  |      } /* do_poll.constprop.0 */
   0)               |      poll_freewait() {
   0)               |        remove_wait_queue() {
   0)   0.133 us    |          _raw_spin_lock_irqsave();
   0)   0.131 us    |          _raw_spin_unlock_irqrestore();
   0)   0.640 us    |        }
   0)               |        fput() {
   0)   0.121 us    |          fput_many();
   0)   0.357 us    |        }
   0)               |        remove_wait_queue() {
   0)   0.126 us    |          _raw_spin_lock_irqsave();
   0)   0.129 us    |          _raw_spin_unlock_irqrestore();
   0)   0.588 us    |        }
   0)               |        fput() {
   0)   0.130 us    |          fput_many();
   0)   0.370 us    |        }
   0)               |        remove_wait_queue() {
   0)   0.130 us    |          _raw_spin_lock_irqsave();
   0)   0.135 us    |          _raw_spin_unlock_irqrestore();
   0)   0.635 us    |        }
   0)               |        fput() {
   0)   0.126 us    |          fput_many();
   0)   0.370 us    |        }
   0)               |        remove_wait_queue() {
   0)   0.127 us    |          _raw_spin_lock_irqsave();
   0)   0.128 us    |          _raw_spin_unlock_irqrestore();
   0)   0.600 us    |        }
   0)               |        fput() {
   0)   0.131 us    |          fput_many();
   0)   0.375 us    |        }
   0)               |        remove_wait_queue() {
   0)   0.130 us    |          _raw_spin_lock_irqsave();
   0)   0.135 us    |          _raw_spin_unlock_irqrestore();
   0)   0.630 us    |        }
   0)               |        fput() {
   0)   0.117 us    |          fput_many();
   0)   0.343 us    |        }
   0)               |        remove_wait_queue() {
   0)   0.121 us    |          _raw_spin_lock_irqsave();
   0)   0.132 us    |          _raw_spin_unlock_irqrestore();
   0)   0.591 us    |        }
   0)               |        fput() {
   0)   0.142 us    |          fput_many();
   0)   0.407 us    |        }
   0)               |        remove_wait_queue() {
   0)   0.123 us    |          _raw_spin_lock_irqsave();
   0)   0.130 us    |          _raw_spin_unlock_irqrestore();
   0)   0.604 us    |        }
   0)               |        fput() {
   0)   0.124 us    |          fput_many();
   0)   0.376 us    |        }
   0)               |        remove_wait_queue() {
   0)   0.135 us    |          _raw_spin_lock_irqsave();
   0)   0.275 us    |          _raw_spin_unlock_irqrestore();
   0)   8.813 us    |        }
   0)               |        fput() {
   0)   0.132 us    |          fput_many();
   0)   0.347 us    |        }
   0)               |        remove_wait_queue() {
   0)   0.133 us    |          _raw_spin_lock_irqsave();
   0)   0.130 us    |          _raw_spin_unlock_irqrestore();
   0)   0.618 us    |        }
   0)               |        fput() {
   0)   0.124 us    |          fput_many();
   0)   0.350 us    |        }
   0) + 19.280 us   |      }
   0) ! 157.075 us  |    } /* do_sys_poll */
   0) ! 157.953 us  |  } /* __x64_sys_poll */
   0)   0.126 us    |  fpregs_assert_state_consistent();
   0)   0.130 us    |  switch_fpu_return();
   0)               |  __x64_sys_write() {
   0)               |    ksys_write() {
   0)               |      __fdget_pos() {
   0)               |        __fget_light() {
   0)   0.163 us    |          __fget_files();
   0)   0.472 us    |        }
   0)   0.729 us    |      }
   0)               |      vfs_write() {
   0)               |        rw_verify_area() {
   0)               |          security_file_permission() {
   0)               |            apparmor_file_permission() {
   0)   0.130 us    |              aa_file_perm();
   0)   0.416 us    |            }
   0)   0.685 us    |          }
   0)   0.949 us    |        }
   0)               |        eventfd_write() {
   0)   0.161 us    |          _raw_spin_lock_irq();
   0)   0.466 us    |        }
   0)   0.136 us    |        fsnotify_parent();
   0)   0.140 us    |        fsnotify();
   0)   2.384 us    |      }
   0)               |      fput() {
   0)   0.126 us    |        fput_many();
   0)   0.365 us    |      }
   0)   4.023 us    |    }
   0)   4.399 us    |  }
   0)   0.135 us    |  fpregs_assert_state_consistent();
   0)               |  __x64_sys_read() {
   0)               |    ksys_read() {
   0)               |      __fdget_pos() {
   0)               |        __fget_light() {
   0)   0.164 us    |          __fget_files();
   0)   0.427 us    |        }
   0)   0.648 us    |      }
   0)               |      vfs_read() {
   0)               |        rw_verify_area() {
   0)               |          security_file_permission() {
   0)               |            apparmor_file_permission() {
   0)   0.127 us    |              aa_file_perm();
   0)   0.366 us    |            }
   0)   0.627 us    |          }
   0)   0.891 us    |        }
   0)               |        tty_read() {
   0)   0.140 us    |          tty_paranoia_check();
   0)               |          tty_ldisc_ref_wait() {
   0)               |            ldsem_down_read() {
   0)               |              _cond_resched() {
   0)   0.158 us    |                rcu_all_qs();
   0)   0.403 us    |              }
   0)   0.662 us    |            }
   0)   0.934 us    |          }
